"Category","File","Line","Reference"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3931","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\out\targets\snap"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3932","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\out\toolsets"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3933","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\out\util"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3934","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\out\util\config"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3935","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\out\vm"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3936","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3937","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\appx"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3938","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\icons"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3939","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\icons\electron-linux"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3940","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\icons\proton-native"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3941","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\icons\proton-native\linux"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3942","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\linux"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3943","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\msi"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3944","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\msiWrapped"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3945","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\nsis"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3946","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\nsis\include"
"CACHE_OR_TEMP","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3947","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\app-builder-lib\templates\snap"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3948","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\argparse"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3949","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\argparse\lib"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3950","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-hidden"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3951","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-hidden\dist"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3952","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-hidden\dist\es2015"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3953","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-hidden\dist\es2019"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3954","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-hidden\dist\es5"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3955","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3956","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3957","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\etc"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3958","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\etc\roles"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3959","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\etc\roles\abstract"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3960","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\etc\roles\dpub"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3961","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\etc\roles\graphics"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3962","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\etc\roles\literal"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3963","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\aria-query\lib\util"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3964","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array-buffer-byte-length"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3965","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array-buffer-byte-length\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3966","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array-buffer-byte-length\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3967","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array-includes"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3968","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array-includes\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3969","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array-includes\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3970","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.findlast"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3971","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.findlast\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3972","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.findlast\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3973","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.flat"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3974","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.flat\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3975","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.flat\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3976","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.flatmap"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3977","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.flatmap\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3978","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.flatmap\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3979","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.tosorted"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3980","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.tosorted\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3981","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\array.prototype.tosorted\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3982","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\arraybuffer.prototype.slice"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3983","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\arraybuffer.prototype.slice\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3984","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\asn1js"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3985","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\asn1js\build"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3986","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assertion-error"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3987","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assign-symbols"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3988","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-cloud"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3989","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-cloud\dist"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3990","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-cloud\dist\tests"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3991","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-cloud\src"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3992","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-cloud\src\tests"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3993","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3994","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3995","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3996","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\accumulators"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3997","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\converters"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3998","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\modules"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","3999","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\object"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4000","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\serialization"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4001","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\serialization\assistant-transport"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4002","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\serialization\data-stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4003","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\serialization\ui-message-stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4004","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\tool"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4005","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\utils"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4006","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\core\utils\stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4007","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\node_modules"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4008","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\node_modules\.pnpm"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4009","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\node_modules\.pnpm\@types_json-schema…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4010","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\node_modules\.pnpm\@types_json-schema…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4011","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\node_modules\.pnpm\@types_json-schema…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4012","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\node_modules\.pnpm\@types_json-schema…"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4013","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\resumable"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4014","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\resumable\stores"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4015","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\utils"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4016","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\dist\utils\json"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4017","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4018","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4019","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\accumulators"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4020","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\converters"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4021","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\modules"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4022","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\object"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4023","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\serialization"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4024","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\serialization\assistant-transport"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4025","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\serialization\data-stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4026","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\serialization\ui-message-stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4027","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\tool"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4028","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\utils"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4029","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\core\utils\stream"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4030","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\resumable"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4031","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\resumable\__tests__"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4032","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\resumable\stores"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4033","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\utils"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4034","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\src\utils\json"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4035","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\assistant-stream\utils"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4036","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4037","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async-exit-hook"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4038","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async-function"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4039","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async-function\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4040","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async-function\test"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4041","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async\dist"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4042","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\async\internal"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4043","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\asynckit"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4044","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\asynckit\lib"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4045","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\at-least-node"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4046","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\attr-accept"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4047","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\attr-accept\dist"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4048","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\attr-accept\dist\es"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4049","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\auto-bind"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4050","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\available-typed-arrays"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4051","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\available-typed-arrays\.github"
"REVIEW","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt","4052","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\available-typed-arrays\test"
